id;expression_id;question_type;text;option_1;option_2;option_3;option_4;correct_answer;note
1;1;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
2;2;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
3;3;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
4;4;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
5;5;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
6;6;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
7;7;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
8;8;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
9;9;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
10;10;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
11;11;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
12;12;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
13;13;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
14;14;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
15;15;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
16;16;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
17;17;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
18;18;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
19;19;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
20;20;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
21;21;1;"Which one of these expressions mean ""to give a lesson"" ?";ders etmek;ders vermek;ders atmak;ders almak;2;
