num,mot,categorie,traduction,phrase_tr,phrase_en,frequence,indice,categorie_2,traduction_2,phrase_2_tr,phrase_2_en,categorie_3,traduction_3,phrase_3_tr,phrase_3_en
1,bir,det,"a, an","Ekoloji, dojanın yapısını ve ihlevini inceleyen bir bilim dalıdır.",Ecology is a science that studies the structure and function of nature.,1402146,0.96,,,,,,,,
2,ol,v,"to be, to become",Kelebek gibi ol!,Be like a butterfly!,1312151,0.98,,,,,,,,
3,ve,conj,and,Nem içerikleri dühüktür ve yüzeydeki tabaka gevhektir.,Their moisture content is low and the surface layer is loose.,1178818,0.94,,,,,,,,
4,bu,pron,this,Bu konuda çehitli arahtırmalar mevcuttur.,There are various studies on this topic.,989142,0.98,,,,,,,,
5,da,adv,"too, also","Ayrıca, tanen ve uçucu yaj da içerir.","Additionally, it contains tannic acid and also evaporating oil.",881669,0.97,,,,,,,,
6,et,v,"to do, to make",Sizi neler motive etti?,What made you motivated?,511423,0.97,n,"meat, flesh",gki parça et ve mangal kömürü çalarken   gki parça et ve mangal kömürü çalarken yakalanmıh.,He was caught stealing charcoal and two pieces of meat.,,,,
7,o,pron,she/he/it,O her iki alanda da çıjır açmıhtır.,He had opened up new eras in both fields.,492063,0.92,,,,,,,,
8,yap,v,"to do, to make","Nerede olursan ol, ne yaparsan yap, o çıkıverir ortaya.","Wherever you are, whatever you do, it pops up.",358192,0.97,,,,,,,,
9,al,v,"to take, to get",O makbuzları al ve postaneden sor.,Take those receipts and ask at the post office.,312199,0.97,,,,,,,,
10,de,v,to say,"SODEV Bahkanı Ercan Karakah ise “Sol, lider sorununu ahmak <zorunda” dedi.","Ercan Karakah who is the president of SODEV said, “The Left should get over the problem of the leader.”",321612,0.91,,,,,,,,
11,ben,pron,"I, me",Ben bahçelerde büyüdüm.,I grew up with gardens.,316570,0.89,,,,,,,,
12,gel,v,to come,“Gel yakından bak istersen” demih.,"He said, “Come have a closer look.”",285485,0.96,,,,,,,,
13,için,posp,for,Beni dinledijiniz için tehekkür ederim.,Thank you for listening to me.,282208,0.95,,,,,,,,
14,çok,det,"very, much, many, a lot of",kansını bu kadar çok zorlamamalı.,You should not push your luck this much.,261699,0.95,,,,,,,,
15,ver,v,to give,"Haydi, yiyeceklerimizi ver!","Come on, give us our food!",236298,0.98,,,,,,,,
16,ne,n,what,Soru ne?,What is the question?,243489,0.92,,,,,,,,
17,daha,adv,more,Fakat daha da önemlisi bu kuralların yahama geçirilebilmesidir.,"However, even more important is to put these principles into practice.",227608,0.98,,,,,,,,
18,gibi,posp,like,"Bilgi sınırsızdır, sonsuz gibi bir hey.","Knowledge is limitless, something like infinity.",231717,0.96,,,,,,,,
19,gör,v,to see,Sanki tuhaf bir kuh gördüm.,"I thought I saw a strange bird. rank, headword, part of speech,  English equivalent(s)",216069,0.97,,,,,,,,
20,kendi,pron,self,En güç olan hey nedir? Kendi kendimizi tanımak!,What is the most difficult task? To know your own self!,218435,0.95,,,,,,,,
21,mi,qp,question particle,Karamozof Kardehler’den sonra roman yazmak gerekiyor mu?,Is it necessary to write a novel like  The Brothers Karamazov ?,225051,0.89,,,,,,,,
22,var,n,"existent, existential predicate",Mayıs henlijinde çık sokaja.,Go out on the streets on the May festival.,198227,0.97,v,"to reach, to arrive at","Tam eve varıyordu ki, telefonu çalmaya   Tam eve varıyordu ki, telefonu çalmaya bahladı.","Just when he reached home, his phone rang.",,,,
22,var,n,"existent, existential predicate",Mayıs henlijinde çık sokaja.,Go out on the streets on the May festival.,198227,0.97,v,"to reach, to arrive at","Tam eve varıyordu ki, telefonu çalmaya   Tam eve varıyordu ki, telefonu çalmaya bahladı.","Just when he reached home, his phone rang.",,,,
24,ile,conj,"with, together",Türkiye tüm itilaf devletleri ile antlahma yapmıhtır.,Turkey has signed agreements with all the Axis countries.,202389,0.92,,,,,,,,
25,sonra,adv,"after, later",Bu yazıyı yazdıktan sonra babam meydan okudu.,"After I wrote this letter, my father challenged me.",191249,0.96,,,,,,,,
26,yer,n,place,Özellikle hafta sonları günü birlik kaplıca keyfi sürmek isteyenler için ideal bir yer burası.,"Especially for those who would like to enjoy a spa for a weekend, this is an ideal place.",182309,0.97,,,,,,,,
27,bul,v,to find,Kendine saklı bir kent bul.,Find yourself a hidden city.,179439,0.97,,,,,,,,
28,iç,n,inside,Buz gibiydi kojuhun içi.,It was ice-cold inside the ward.,178382,0.96,v,to drink,,Birkaç hihe su içti. —   He drank a few bottles •  Birkaç hihe su içti. —   He drank a few bottles of water.,,,,
29,ama,conj,"but, yet, still",Bunların cevabını bulanlar oldu ama bunlara inanmayanlar da oldu.,There were those who found the answers but there were also those who did not believe the answers.,176269,0.91,,,,,,,,
30,zaman,n,time,Bence ilginç ve zaman harcamaya dejer.,I think it is interesting and worth spending some time over.,160656,0.96,,,,,,,,
31,her,det,"each, every",Böylece arıtma için her bir bitki çok genih bir alan oluhturabilmektedir.,"Thus, for distillation, each plant is able to form a very large area.",160771,0.96,,,,,,,,
32,hey,n,thing,"O zaman aynı hey, tüm dijer nesneler için de dojru olacaktır.","Then, the same thing will also be true for all other objects.",167699,0.89,,,,,,,,
33,kadar,posp,"until, as much as","1000 yıl kadar önce, kuzey yarımküre daha ılık ve kuruydu.","As much as 1,000 years ago, the northern hemisphere was more warm and dry.",154881,0.96,,,,,,,,
34,ara,n,"break, interval, distance",Tarihi zirveye 1 saat ara.,A one-hour break for the historic summit.,152895,0.97,v,"to look for, to search",,Yıllarca sorununa çözüm aradı. —   He •  Yıllarca sorununa çözüm aradı. —   He searched for a solution to the problem for years.,,,,
35,git,v,to go,“Öyleyse git ihine devam et” dedim.,"I said, “Then go and continue your work.”",156933,0.92,,,,,,,,
36,en,adv,the most,En küçük dojan türüdür.,It is the smallest species of falcon.,148762,0.97,n,width,,Geminin eni boyu ehit olsun. —   The width •  Geminin eni boyu ehit olsun. —   The width and the length of the boat are equal.,,,,
37,yıl,n,year,Öyle sıradan bir köpek dejil ama.,It is not such an ordinary dog though.,149658,0.96,,,,,,,,
37,yıl,n,year,Öyle sıradan bir köpek dejil ama.,It is not such an ordinary dog though.,149658,0.96,,,,,,,,
39,çalıh,v,to work,Bu kasapta çalıh ve tam ustalah.,Work at this butchery and become a master butcher.,150234,0.95,,,,,,,,
39,çalıh,v,to work,Bu kasapta çalıh ve tam ustalah.,Work at this butchery and become a master butcher.,150234,0.95,,,,,,,,
40,iste,v,to want,Hemen bu aileyi görmek istedim.,I wanted to see this family immediately.,147628,0.95,,,,,,,,
41,geç,v,to pass,Yakıhıklı bir adam geçti yanından.,A handsome man passed by her.,142923,0.96,adv,late,,Eve geç dönmühtük. —   We came home late. •  Eve geç dönmühtük. —   We came home late.,,,,
42,bil,v,to know,Bir iki dil bilir.,She knows one or two languages.,146004,0.94,,,,,,,,
43,biz,pron,"we, us","Onlar bizi, biz de onları dejihtiririz.",They change us and we also change them.,143327,0.92,,,,,,,,
44,gün,n,day,Bu oran her geçen gün de hızla artmaktadır.,This ration is increasing rapidly with each passing day.,136776,0.95,,,,,,,,
45,insan,n,"human, person",Bu da insan beyninde olmaktadır.,And this takes place in a human brain.,140522,0.92,,,,,,,,
46,anla,v,to understand,"“Anladı mı?” diye soruyorsan, cevabım Hayır!",If you are asking “Did he understand?” my answer is No!,134073,0.95,,,,,,,,
47,ya,conj,either,Ya birinci oyuncu kazanmıhtır ya da ikinci.,Either the first player or the second has won.,134512,0.90,,,,,,,,
48,el,n,hand,Ama hu inkar edilemezdi ki herkes aynı gemideydi.,"However, everybody was in the same boat, a fact which cannot be denied.",126887,0.93,,,,,,,,
48,el,n,hand,Ama hu inkar edilemezdi ki herkes aynı gemideydi.,"However, everybody was in the same boat, a fact which cannot be denied.",126887,0.93,,,,,,,,
50,kal,v,"to stay, to remain",Gitme biraz daha kal.,"Don’t go, stay a little longer.",121834,0.96,,,,,,,,
51,söyle,v,"to say, to tell","Söyle, sen bir öjretmensin, ben ne yapayım?","Tell me, you are a teacher, what shall I do?",123725,0.94,,,,,,,,
52,bak,v,to look at,Toprak yoksa patates yok.,"If there is no soil, then there will be no potatoes.",123810,0.92,,,,,,,,
52,bak,v,to look at,Toprak yoksa patates yok.,"If there is no soil, then there will be no potatoes.",123810,0.92,,,,,,,,
54,ye,v,to eat,O kıh çok portakal yedim.,I ate a lot of oranges that winter.,116309,0.97,,,,,,,,
55,bahla,v,"to begin, to start","Önce sen bahla dedim, utandı, bahlayamadı.","I said you start first, but he was embarrassed and couldn’t start.",114750,0.96,,,,,,,,
56,konu,n,"subject matter, topic",Yiyecek israfı da ayrı bir konu.,Wasting food is yet another topic.,117968,0.93,,,,,,,,
57,yeni,adj,new,Sen benim için ajlama!,Don’t cry for me!,120946,0.86,,,,,,,,
57,yeni,adj,new,Sen benim için ajlama!,Don’t cry for me!,120946,0.86,,,,,,,,
57,yeni,adj,new,Sen benim için ajlama!,Don’t cry for me!,120946,0.86,,,,,,,,
60,ih,n,"work, business",Yapacajımız çok ih var.,We have a lot of work to do.,105363,0.96,,,,,,,,
61,önce,adv,before,Hava sabah 7’den önce aydınlanmıyordu.,The day did not dawn before 7 o’clock.,102311,0.98,,,,,,,,
62,son,n,"end, conclusion",Yolun sonu gözüktü.,The end of the road is in sight.,102207,0.97,,,,,,,,
