id;word_id;question_type;text;option_1;option_2;option_3;option_4;correct_answer;note
1;1;1;"How to say ""a/an"" in Turkish ?";bır;bip;bir;bi;3;
2;2;1;"Which of these verbs mean ""to be, to become"" ?";imek;olmak;ormak;ol;2;
3;3;1;"How do we say ""and"" in Turkish ?";ili;önce;sonra;ve;4;
4;4;1;"How do we say ""this"" in Turkish ? ";bu;şu;o;ora;1;"şu has a different meaning than ""this"", only ""bu"" refers to a close object "
5;5;1;"Which of these words translates to ""too, also"" ?";ma;sa;ta;da;4;
6;6;1;"What is the Turkish verb for ""to do, to make"" ?";etmek;edmek;etermek;yemek;1;
7;7;1;"Translate ""meat, flesh"" in Turkish.";set;ed;et;el;3;
8;8;1;"Which pronoun stands for ""she/he/it"" ?";sen;ben;o;biz;3;
9;9;1;"Which of these verbs mean ""to do, to make"" ?";yapmak;apmak;yarmak;yurmak;1;
10;10;1;"This word means ""to take, to get"". Which one is it?";atmak;binmek;bitmek;almak;4;
11;11;1;"How do we say ""to say"" in Turkish ?";demek;konuşmak;denmek;konusmak;1;
12;12;1;"Which pronoun is used for ""I, me"" ?";ben;sen;siz;onlar;1;
13;13;1;"Which one of these verbs mean ""to come"" ?";girmek;gelmek;gitmek;gidmek;2;
14;14;1;"How do you translate ""for"" in Turkish ?";izin;göre;için;gare;3;
15;15;1;very, much, many, a lot of;çok;az;çık;as;1;
16;16;1;"Which of these words mean ""to give"" ?";vipmek;vepmek;binmek;vermek;4;
17;17;1;"What is the interrogativ pronoun for ""what"" ?";neden;nasıl;ne;nerede;3;
18;18;1;"Translate ""more"" in Turkish.";daha;az;da;dana;1;
19;19;1;"According to you, which word is used to mean ""like …"" ?";göre;için;aslında;gibi;4;
20;20;1;"What is the verb for ""to see"" ?";görmek;gürmek;gormek;gopmek;1;
21;21;1;"We translate this word as ""self"", which one is it ?";kemdi;kendi;kepdi;kerdi;2;
22;22;1;What is the question particle in Turkish ?;bi/bı/bu/bü;si/sı/su/sü;pi/pı/pu/pü;mi/mı/mu/mü;4;
23;23;1;Which of this particle is used to show existence of something ? ;yanı;yok;var;mi;3;
24;24;1;"Which of these verbs mean ""to reach, to arrive at"" ?";varmak;yarmak;vapmak;armak;1;
25;25;1;"What option shows the verb ""to go out (of)"" ?";tıkmak;çırmak;çikmak;çıkmak;4;
26;26;1;"Which of these words often used as a suffix mean ""with, together"" in Turkish ?";ile;siz;li;ci;1;
27;27;1;"How to say ""after, later"" ?";önce;sonra;bazen;sık sık;2;
28;28;1;"Which of these words mean ""place"" ?";ser;ülke;yer;ulke;3;
29;29;1;"This verb means ""to find"", which one is it ?";bulmak;burmak;sulmak;sunmak;1;
30;30;1;"Which word mean ""inside"" ?";iç;için;icin;izin;1;
31;31;1;"What verb tanslates to ""to drink"" ?";izmek;binmek;yemek;içmek;4;
32;32;1;"This word can mean any of the following: ""but"", ""yet"", ""still"", which one is it ?";neden;zaten;ve;ama;4;
33;33;1;"This word stands out for ""time"" ? Which one is it ?";zanan;paman;zanan;zaman;4;
